number,docID,edinetCode,filerName,disclosureStatusFlg,xbrlFlg
105,S1002XNP,E03446,株式会社コスモス薬品,0,1
106,S1002XTC,E01649,株式会社中北製作所,0,1
107,S1002Y0X,E01742,東洋電機製造株式会社,0,1
108,S1002Y10,E05706,Ｅ・Ｊホールディングス株式会社,0,1
109,S1002Y07,E01508,タケダ機械株式会社,0,1
110,S1002Y26,E04767,互助会保証株式会社,0,1
111,S1002XZ6,E30598,株式会社東武住販,0,1
112,S1002XJ6,E24187,ダイト株式会社,0,1
113,S1002XB5,E04764,株式会社オオバ,0,1
114,S1002XTS,E26570,五洋食品産業株式会社,0,1
115,S1002Y4T,E05449,株式会社ケイブ,0,1
116,S1002XG4,E00004,カネコ種苗株式会社,0,1
117,S1002Y5S,E04064,株式会社プロパスト,0,1
118,S1002Y65,E24982,株式会社メディカルネット,0,1
119,S1002XBY,E05450,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ株式会社,0,1
120,S1002X9X,E04780,ＴＫＣ金融保証株式会社,0,1
121,S1002Y34,E02347,株式会社レイテックス,0,1
122,S1002Y7D,E05729,株式会社パソナグループ,0,1
123,S1002HBL,E06001,ケベック州,0,0
124,S1002YTE,E03410,ゲンキー株式会社,0,1
125,S100315O,E00476,一正蒲鉾株式会社,0,1
126,S1003123,E05163,株式会社ＣＩＪ,0,1
127,S1003035,E02398,株式会社キングジム,0,1
128,S1002ZJO,E30501,株式会社ジョイフル本田,0,1
129,S10031RI,E02448,シンポ株式会社,0,1
130,S10031BO,E04680,各務原開発株式会社,0,1
131,S100316Z,E01068,東洋ドライルーブ株式会社,0,1
132,S10031FW,E05494,株式会社ブロードバンドタワー,0,1
133,S10031PG,E02100,株式会社ユビテック,0,1
134,S10031RF,E05597,株式会社ビューティ花壇,0,1
135,S100321I,E00009,株式会社アクシーズ,0,1
136,S100319Q,E04924,大日本コンサルタント株式会社,0,1
137,S1003211,E05576,株式会社タウンニュース社,0,1
138,S10030UW,E02491,株式会社三ツ知,0,1
139,S10032FG,E01666,澁谷工業株式会社,0,1
140,S100324X,E03475,株式会社アルペン,0,1
141,S10032N5,E05255,株式会社アイ・ピー・エス,0,1
142,S10032O0,E05156,株式会社デジタルガレージ,0,1
143,S10032AQ,E24392,株式会社ボルテージ,0,1
144,S10032Q5,E05505,日本社宅サービス株式会社,0,1
145,S10032E9,E04025,穴吹興産株式会社,0,1
146,S1003270,E02920,アトムリビンテック株式会社,0,1
147,S100302R,E00362,新中糖産業株式会社,0,1
148,S1003253,E00329,ショーボンドホールディングス株式会社,0,1
149,S100324B,E02039,協立電機株式会社,0,1
150,S10032MK,E00010,株式会社ホーブ,0,1
151,S10032KD,E01208,株式会社高見澤,0,1
152,S10032L3,E04972,株式会社環境管理センター,0,1
153,S10032PS,E05250,株式会社セラーテムテクノロジー,0,1
154,S10032G9,E00365,北部製糖株式会社,0,1
155,S10032MC,E02928,株式会社カワニシホールディングス,0,1
156,S10032CR,E26301,株式会社アイスタイル,0,1
157,S10032LV,E00368,石垣島製糖株式会社,0,1
158,S10032US,E27486,ペプチドリーム株式会社,0,1
159,S10032MT,E01994,株式会社アイ・オー・データ機器,0,1
160,S10032L0,E00078,日本工営株式会社,0,1
161,S10032XY,E02338,プレシジョン・システム・サイエンス株式会社,0,1
162,S10031AS,E01219,新東株式会社,0,1
163,S10032Y7,E02261,株式会社ツノダ,0,1
164,S10032SF,E02058,株式会社鈴木,0,1
165,S10032YS,E27464,トラストホールディングス株式会社,0,1
166,S10032FI,E05191,株式会社インテリジェント　ウェイブ,0,1
167,S10032OR,E05663,株式会社アバント,0,1
168,S10032V0,E04008,株式会社エリアクエスト,0,1
169,S10032T0,E01713,北川精機株式会社,0,1
170,S10032JJ,E04230,株式会社ゼロ,0,1
171,S10032XL,E05069,株式会社　構造計画研究所,0,1
172,S10032RB,E02324,アクモス株式会社,0,1
173,S10032JO,E04189,株式会社ニヤクコーポレーション,0,1
174,S100331P,E05100,株式会社テー・オー・ダブリュー,0,1
175,S1003321,E03006,あいホールディングス株式会社,0,1
176,S10030YH,E03528,株式会社物語コーポレーション,0,1
177,S10032IU,E00282,工藤建設株式会社,0,1
178,S100333O,E26444,株式会社チャーム・ケア・コーポレーション,0,1
179,S10032C5,E05470,株式会社エフオン,0,1
180,S10032B3,E22995,メディアスホールディングス株式会社,0,1
181,S100332L,E04069,株式会社アーバネットコーポレーション,0,1
182,S10032U6,E25817,株式会社ブレインパッド,0,1
183,S100330X,E05187,株式会社スカラ,0,1
184,S10032X4,E05786,セバン・トレント・ピーエルシー,0,0
185,S10032UL,E30466,株式会社ディー・エル・イー,0,1
186,S100323F,E27868,株式会社エンビプロ・ホールディングス,0,1
187,S10032KX,E02485,株式会社フルヤ金属,0,1
188,S100334W,E23487,株式会社キャンバス,0,1
189,S1003377,E05564,手間いらず株式会社,0,1
190,S10032VM,E03280,株式会社パン・パシフィック・インターナショナルホールディングス,0,1
191,S100337H,E27567,株式会社フォトクリエイト,0,1
192,S10032YR,E01589,株式会社　アルバック,0,1
193,S10032UZ,E03306,株式会社かんなん丸,0,1
194,S10032TQ,E26446,株式会社ユニバーサル園芸社,0,1
195,S1003398,E01215,株式会社武井工業所,0,1
196,S10032WN,E01446,株式会社オーネックス,0,1
197,S1003360,E02349,朝日インテック株式会社,0,1
198,S10033CX,E00320,第一カッター興業株式会社,0,1
199,S100339P,E01991,レーザーテック株式会社,0,1
200,S100339X,E02847,西川計測株式会社,0,1
201,S10033A4,E03404,株式会社　三光マーケティングフーズ,0,1
202,S10033DV,E05695,株式会社トラスト・テック,0,1
203,S100334M,E04339,伏木海陸運送株式会社,0,1
204,S10031PX,E03211,藤久株式会社,0,1
205,S100332U,E00259,株式会社三東工業社,0,1
206,S10032YG,E02343,株式会社エーワン精密,0,1
207,S100329W,E05367,株式会社総医研ホールディングス,0,1
208,S10033F3,E00367,久米島製糖株式会社,0,1
209,S100338F,E00389,株式会社湖池屋,0,1
210,S100334D,E00607,株式会社自重堂,0,1
211,S10032XO,E00248,サイタホールディングス株式会社,0,1
212,S100328K,E22012,グリー株式会社,0,1
213,S10031WM,E06066,南アフリカ共和国,0,0
214,S1002YJN,E24841,ＧＬＰプライベート・リミテッド,0,0
215,S10033AM,E03331,株式会社ハンズマン,0,1
216,S10033I2,E05713,Ａｂａｌａｎｃｅ株式会社,0,1
217,S1003391,E04918,株式会社福山コンサルタント,0,1
218,S100339E,E03512,株式会社きちりホールディングス,0,1
219,S10033K1,E30880,株式会社ＡＭＢＩＴＩＯＮ,0,1
220,S10033KA,E05055,株式会社エム・エイチ・グループ,0,1
221,S100334N,E05587,株式会社オウケイウェイヴ,0,1
222,S10033JS,E03434,株式会社ランシステム,0,1
223,S10032JD,E05458,ウェルネット株式会社,0,1
224,S10033JZ,E00366,株式会社　りゅうとう,0,1
225,S10033DJ,E02339,石山Ｇａｔｅｗａｙ　Ｈｏｌｄｉｎｇｓ株式会社,0,1
226,S10033BI,E05396,株式会社フジコー,0,1
227,S10033O5,E21381,株式会社サニーサイドアップ,0,1
228,S1002HLC,E06115,予防接種のための国際金融ファシリティ（ＩＦＦＩｍ）,0,0
229,S10033JD,E04664,瀬戸内開発株式会社,0,1
230,S100334P,E30005,ヴェダンタ・リミテッド,0,0
231,S10033S6,E24340,株式会社　ＴＨＥグローバル社,0,1
232,S10031XC,E05975,アイシーアイシーアイ・バンク・リミテッド,0,0
233,S10030HL,E04740,株式会社リオフジワラカントリー,0,1
234,S10033UZ,E25517,エスエフジェー・キャピタル・リミテッド　（ＳＦＪ　Ｃａｐｉｔａｌ　Ｌｉｍｉｔｅｄ）,0,1
235,S10032JF,E06110,インド輸出入銀行,0,0
236,S10033U7,E00384,フジパングループ本社株式会社,0,1
237,S10033XX,E05740,株式会社インサイト,0,1
