,Bonds,CP,Capex,CashEquivalents,Depreciation,GrossProfit,Inventories,NetAssets,NetSales,OperatingProfit,OrdinaryIncomeLoss,ParseFlg,ProfitLoss,ROE,RequestFlg,ShareholdersEquity,Valuation,acPayable,acReceivable,campany_no,cfFinancing,cfInvesting,cfOperating,cpBonds,cpLoans,disclosureStatusFlg,docID,edinetCode,filerName,ltLoans,psBasicEarningsLoss,psNetAssets,season,series_data,stBonds,stLoans,tAssets,tIssuedShares,xbrlFlg,year
92,,,,1325644000.0,,,,1391601000.0,4176402000.0,,323108000.0,,,0.302,,,,,,,124567000.0,-95376000.0,717412000.0,,,0,S1004DA0,E04674,株式会社小樽ゴルフ場,,7441.98,31450.04,13.0,,,,2832324000.0,44248.0,1,2010.0
93,,,,1932060000.0,,,,2020398000.0,4182908000.0,,385401000.0,,,0.369,,,,,,,64765000.0,-142472000.0,684122000.0,,,0,S1004DA0,E04674,株式会社小樽ゴルフ場,,14226.45,45660.79,14.0,,,,3629144000.0,44248.0,1,2011.0
94,,,,2169846000.0,,,,2463084000.0,4289385000.0,,474453000.0,,,0.196,,,,,,,158724000.0,-567732000.0,646794000.0,,,0,S1004DA0,E04674,株式会社小樽ゴルフ場,,99.27,556.65,15.0,,,,4334461000.0,44248.0,1,2012.0
95,220000000.0,,,2625625000.0,7395000.0,1842648000.0,-18880000.0,2780431000.0,4225478000.0,526077000.0,517087000.0,,,0.121,,2778285000.0,2145000.0,-5298000.0,100732000.0,,-7616000.0,-346018000.0,809413000.0,110000000.0,147192000.0,0,S1004DA0,E04674,株式会社小樽ゴルフ場,147192000.0,71.46,628.37,16.0,,,135000000.0,4996345000.0,4424800.0,1,2013.0
96,160000000.0,,,2511147000.0,15933000.0,2550585000.0,-1194000.0,3059877000.0,4437957000.0,690483000.0,693252000.0,,,0.115,,3112757000.0,-52880000.0,-6838000.0,-149950000.0,,-317505000.0,-384858000.0,587886000.0,60000000.0,119992000.0,0,S1004DA0,E04674,イーサポートリンク株式会社,119992000.0,75.64,691.54,17.0,第17期（自　平成25年12月１日　至　平成26年11月30日）,,150000000.0,5211853000.0,4424800.0,1,2014.0
97,,,,1325644000.0,,,,1391601000.0,4176402000.0,,323108000.0,,,0.302,,,,,,,124567000.0,-95376000.0,717412000.0,,,0,S1004E1W,E05733,ＧＣＡ株式会社,,7441.98,31450.04,13.0,,,,2832324000.0,44248.0,1,2010.0
98,,,,1932060000.0,,,,2020398000.0,4182908000.0,,385401000.0,,,0.369,,,,,,,64765000.0,-142472000.0,684122000.0,,,0,S1004E1W,E05733,ＧＣＡ株式会社,,14226.45,45660.79,14.0,,,,3629144000.0,44248.0,1,2011.0
99,,,,2169846000.0,,,,2463084000.0,4289385000.0,,474453000.0,,,0.196,,,,,,,158724000.0,-567732000.0,646794000.0,,,0,S1004E1W,E05733,ＧＣＡ株式会社,,99.27,556.65,15.0,,,,4334461000.0,44248.0,1,2012.0
100,220000000.0,,,2625625000.0,7395000.0,1842648000.0,-18880000.0,2780431000.0,4225478000.0,526077000.0,517087000.0,,,0.121,,2778285000.0,2145000.0,-5298000.0,100732000.0,,-7616000.0,-346018000.0,809413000.0,110000000.0,147192000.0,0,S1004E1W,E05733,ＧＣＡ株式会社,147192000.0,71.46,628.37,16.0,,,135000000.0,4996345000.0,4424800.0,1,2013.0
101,160000000.0,,,2511147000.0,15933000.0,2550585000.0,-1194000.0,3059877000.0,4437957000.0,690483000.0,693252000.0,,,0.115,,3112757000.0,-52880000.0,-6838000.0,-149950000.0,,-317505000.0,-384858000.0,587886000.0,60000000.0,119992000.0,0,S1004E1W,E05733,イーサポートリンク株式会社,119992000.0,75.64,691.54,17.0,第17期（自　平成25年12月１日　至　平成26年11月30日）,,150000000.0,5211853000.0,4424800.0,1,2014.0
102,,,,1325644000.0,,,,1391601000.0,4176402000.0,,323108000.0,,,0.302,,,,,,,124567000.0,-95376000.0,717412000.0,,,0,S1004DUT,E05408,株式会社アルテサロンホールディングス,,7441.98,31450.04,13.0,,,,2832324000.0,44248.0,1,2010.0
103,,,,1932060000.0,,,,2020398000.0,4182908000.0,,385401000.0,,,0.369,,,,,,,64765000.0,-142472000.0,684122000.0,,,0,S1004DUT,E05408,株式会社アルテサロンホールディングス,,14226.45,45660.79,14.0,,,,3629144000.0,44248.0,1,2011.0
104,,,,2169846000.0,,,,2463084000.0,4289385000.0,,474453000.0,,,0.196,,,,,,,158724000.0,-567732000.0,646794000.0,,,0,S1004DUT,E05408,株式会社アルテサロンホールディングス,,99.27,556.65,15.0,,,,4334461000.0,44248.0,1,2012.0
105,220000000.0,,,2625625000.0,7395000.0,1842648000.0,-18880000.0,2780431000.0,4225478000.0,526077000.0,517087000.0,,,0.121,,2778285000.0,2145000.0,-5298000.0,100732000.0,,-7616000.0,-346018000.0,809413000.0,110000000.0,147192000.0,0,S1004DUT,E05408,株式会社アルテサロンホールディングス,147192000.0,71.46,628.37,16.0,,,135000000.0,4996345000.0,4424800.0,1,2013.0
106,160000000.0,,,2511147000.0,15933000.0,2550585000.0,-1194000.0,3059877000.0,4437957000.0,690483000.0,693252000.0,,,0.115,,3112757000.0,-52880000.0,-6838000.0,-149950000.0,,-317505000.0,-384858000.0,587886000.0,60000000.0,119992000.0,0,S1004DUT,E05408,イーサポートリンク株式会社,119992000.0,75.64,691.54,17.0,第17期（自　平成25年12月１日　至　平成26年11月30日）,,150000000.0,5211853000.0,4424800.0,1,2014.0
107,,,,1325644000.0,,,,1391601000.0,4176402000.0,,323108000.0,,,0.302,,,,,,,124567000.0,-95376000.0,717412000.0,,,0,S1004DII,E02800,ビーピー・カストロール株式会社,,7441.98,31450.04,13.0,,,,2832324000.0,44248.0,1,2010.0
108,,,,1932060000.0,,,,2020398000.0,4182908000.0,,385401000.0,,,0.369,,,,,,,64765000.0,-142472000.0,684122000.0,,,0,S1004DII,E02800,ビーピー・カストロール株式会社,,14226.45,45660.79,14.0,,,,3629144000.0,44248.0,1,2011.0
109,,,,2169846000.0,,,,2463084000.0,4289385000.0,,474453000.0,,,0.196,,,,,,,158724000.0,-567732000.0,646794000.0,,,0,S1004DII,E02800,ビーピー・カストロール株式会社,,99.27,556.65,15.0,,,,4334461000.0,44248.0,1,2012.0
110,220000000.0,,,2625625000.0,7395000.0,1842648000.0,-18880000.0,2780431000.0,4225478000.0,526077000.0,517087000.0,,,0.121,,2778285000.0,2145000.0,-5298000.0,100732000.0,,-7616000.0,-346018000.0,809413000.0,110000000.0,147192000.0,0,S1004DII,E02800,ビーピー・カストロール株式会社,147192000.0,71.46,628.37,16.0,,,135000000.0,4996345000.0,4424800.0,1,2013.0
111,160000000.0,,,2511147000.0,15933000.0,2550585000.0,-1194000.0,3059877000.0,4437957000.0,690483000.0,693252000.0,,,0.115,,3112757000.0,-52880000.0,-6838000.0,-149950000.0,,-317505000.0,-384858000.0,587886000.0,60000000.0,119992000.0,0,S1004DII,E02800,イーサポートリンク株式会社,119992000.0,75.64,691.54,17.0,第17期（自　平成25年12月１日　至　平成26年11月30日）,,150000000.0,5211853000.0,4424800.0,1,2014.0
112,,,,1325644000.0,,,,1391601000.0,4176402000.0,,323108000.0,,,0.302,,,,,,,124567000.0,-95376000.0,717412000.0,,,0,S1004D1Q,E02932,ＹＫＴ株式会社,,7441.98,31450.04,13.0,,,,2832324000.0,44248.0,1,2010.0
113,,,,1932060000.0,,,,2020398000.0,4182908000.0,,385401000.0,,,0.369,,,,,,,64765000.0,-142472000.0,684122000.0,,,0,S1004D1Q,E02932,ＹＫＴ株式会社,,14226.45,45660.79,14.0,,,,3629144000.0,44248.0,1,2011.0
114,,,,2169846000.0,,,,2463084000.0,4289385000.0,,474453000.0,,,0.196,,,,,,,158724000.0,-567732000.0,646794000.0,,,0,S1004D1Q,E02932,ＹＫＴ株式会社,,99.27,556.65,15.0,,,,4334461000.0,44248.0,1,2012.0
115,220000000.0,,,2625625000.0,7395000.0,1842648000.0,-18880000.0,2780431000.0,4225478000.0,526077000.0,517087000.0,,,0.121,,2778285000.0,2145000.0,-5298000.0,100732000.0,,-7616000.0,-346018000.0,809413000.0,110000000.0,147192000.0,0,S1004D1Q,E02932,ＹＫＴ株式会社,147192000.0,71.46,628.37,16.0,,,135000000.0,4996345000.0,4424800.0,1,2013.0
116,160000000.0,,,2511147000.0,15933000.0,2550585000.0,-1194000.0,3059877000.0,4437957000.0,690483000.0,693252000.0,,,0.115,,3112757000.0,-52880000.0,-6838000.0,-149950000.0,,-317505000.0,-384858000.0,587886000.0,60000000.0,119992000.0,0,S1004D1Q,E02932,イーサポートリンク株式会社,119992000.0,75.64,691.54,17.0,第17期（自　平成25年12月１日　至　平成26年11月30日）,,150000000.0,5211853000.0,4424800.0,1,2014.0
117,,,,1325644000.0,,,,1391601000.0,4176402000.0,,323108000.0,,,0.302,,,,,,,124567000.0,-95376000.0,717412000.0,,,0,S1004DJE,E04816,応用地質株式会社,,7441.98,31450.04,13.0,,,,2832324000.0,44248.0,1,2010.0
118,,,,1932060000.0,,,,2020398000.0,4182908000.0,,385401000.0,,,0.369,,,,,,,64765000.0,-142472000.0,684122000.0,,,0,S1004DJE,E04816,応用地質株式会社,,14226.45,45660.79,14.0,,,,3629144000.0,44248.0,1,2011.0
119,,,,2169846000.0,,,,2463084000.0,4289385000.0,,474453000.0,,,0.196,,,,,,,158724000.0,-567732000.0,646794000.0,,,0,S1004DJE,E04816,応用地質株式会社,,99.27,556.65,15.0,,,,4334461000.0,44248.0,1,2012.0
120,220000000.0,,,2625625000.0,7395000.0,1842648000.0,-18880000.0,2780431000.0,4225478000.0,526077000.0,517087000.0,,,0.121,,2778285000.0,2145000.0,-5298000.0,100732000.0,,-7616000.0,-346018000.0,809413000.0,110000000.0,147192000.0,0,S1004DJE,E04816,応用地質株式会社,147192000.0,71.46,628.37,16.0,,,135000000.0,4996345000.0,4424800.0,1,2013.0
121,160000000.0,,,2511147000.0,15933000.0,2550585000.0,-1194000.0,3059877000.0,4437957000.0,690483000.0,693252000.0,,,0.115,,3112757000.0,-52880000.0,-6838000.0,-149950000.0,,-317505000.0,-384858000.0,587886000.0,60000000.0,119992000.0,0,S1004DJE,E04816,イーサポートリンク株式会社,119992000.0,75.64,691.54,17.0,第17期（自　平成25年12月１日　至　平成26年11月30日）,,150000000.0,5211853000.0,4424800.0,1,2014.0
122,,,,1325644000.0,,,,1391601000.0,4176402000.0,,323108000.0,,,0.302,,,,,,,124567000.0,-95376000.0,717412000.0,,,0,S1004DGV,E00934,鳥居薬品株式会社,,7441.98,31450.04,13.0,,,,2832324000.0,44248.0,1,2010.0
123,,,,1932060000.0,,,,2020398000.0,4182908000.0,,385401000.0,,,0.369,,,,,,,64765000.0,-142472000.0,684122000.0,,,0,S1004DGV,E00934,鳥居薬品株式会社,,14226.45,45660.79,14.0,,,,3629144000.0,44248.0,1,2011.0
124,,,,2169846000.0,,,,2463084000.0,4289385000.0,,474453000.0,,,0.196,,,,,,,158724000.0,-567732000.0,646794000.0,,,0,S1004DGV,E00934,鳥居薬品株式会社,,99.27,556.65,15.0,,,,4334461000.0,44248.0,1,2012.0
125,220000000.0,,,2625625000.0,7395000.0,1842648000.0,-18880000.0,2780431000.0,4225478000.0,526077000.0,517087000.0,,,0.121,,2778285000.0,2145000.0,-5298000.0,100732000.0,,-7616000.0,-346018000.0,809413000.0,110000000.0,147192000.0,0,S1004DGV,E00934,鳥居薬品株式会社,147192000.0,71.46,628.37,16.0,,,135000000.0,4996345000.0,4424800.0,1,2013.0
126,160000000.0,,,2511147000.0,15933000.0,2550585000.0,-1194000.0,3059877000.0,4437957000.0,690483000.0,693252000.0,,,0.115,,3112757000.0,-52880000.0,-6838000.0,-149950000.0,,-317505000.0,-384858000.0,587886000.0,60000000.0,119992000.0,0,S1004DGV,E00934,イーサポートリンク株式会社,119992000.0,75.64,691.54,17.0,第17期（自　平成25年12月１日　至　平成26年11月30日）,,150000000.0,5211853000.0,4424800.0,1,2014.0
127,,,,1325644000.0,,,,1391601000.0,4176402000.0,,323108000.0,,,0.302,,,,,,,124567000.0,-95376000.0,717412000.0,,,0,S1004DRY,E02371,株式会社イトーキ,,7441.98,31450.04,13.0,,,,2832324000.0,44248.0,1,2010.0
128,,,,1932060000.0,,,,2020398000.0,4182908000.0,,385401000.0,,,0.369,,,,,,,64765000.0,-142472000.0,684122000.0,,,0,S1004DRY,E02371,株式会社イトーキ,,14226.45,45660.79,14.0,,,,3629144000.0,44248.0,1,2011.0
129,,,,2169846000.0,,,,2463084000.0,4289385000.0,,474453000.0,,,0.196,,,,,,,158724000.0,-567732000.0,646794000.0,,,0,S1004DRY,E02371,株式会社イトーキ,,99.27,556.65,15.0,,,,4334461000.0,44248.0,1,2012.0
130,220000000.0,,,2625625000.0,7395000.0,1842648000.0,-18880000.0,2780431000.0,4225478000.0,526077000.0,517087000.0,,,0.121,,2778285000.0,2145000.0,-5298000.0,100732000.0,,-7616000.0,-346018000.0,809413000.0,110000000.0,147192000.0,0,S1004DRY,E02371,株式会社イトーキ,147192000.0,71.46,628.37,16.0,,,135000000.0,4996345000.0,4424800.0,1,2013.0
131,160000000.0,,,2511147000.0,15933000.0,2550585000.0,-1194000.0,3059877000.0,4437957000.0,690483000.0,693252000.0,,,0.115,,3112757000.0,-52880000.0,-6838000.0,-149950000.0,,-317505000.0,-384858000.0,587886000.0,60000000.0,119992000.0,0,S1004DRY,E02371,イーサポートリンク株式会社,119992000.0,75.64,691.54,17.0,第17期（自　平成25年12月１日　至　平成26年11月30日）,,150000000.0,5211853000.0,4424800.0,1,2014.0
132,,,,1325644000.0,,,,1391601000.0,4176402000.0,,323108000.0,,,0.302,,,,,,,124567000.0,-95376000.0,717412000.0,,,0,S1004E4H,E05235,ケネディクス株式会社,,7441.98,31450.04,13.0,,,,2832324000.0,44248.0,1,2010.0
133,,,,1932060000.0,,,,2020398000.0,4182908000.0,,385401000.0,,,0.369,,,,,,,64765000.0,-142472000.0,684122000.0,,,0,S1004E4H,E05235,ケネディクス株式会社,,14226.45,45660.79,14.0,,,,3629144000.0,44248.0,1,2011.0
134,,,,2169846000.0,,,,2463084000.0,4289385000.0,,474453000.0,,,0.196,,,,,,,158724000.0,-567732000.0,646794000.0,,,0,S1004E4H,E05235,ケネディクス株式会社,,99.27,556.65,15.0,,,,4334461000.0,44248.0,1,2012.0
135,220000000.0,,,2625625000.0,7395000.0,1842648000.0,-18880000.0,2780431000.0,4225478000.0,526077000.0,517087000.0,,,0.121,,2778285000.0,2145000.0,-5298000.0,100732000.0,,-7616000.0,-346018000.0,809413000.0,110000000.0,147192000.0,0,S1004E4H,E05235,ケネディクス株式会社,147192000.0,71.46,628.37,16.0,,,135000000.0,4996345000.0,4424800.0,1,2013.0
136,160000000.0,,,2511147000.0,15933000.0,2550585000.0,-1194000.0,3059877000.0,4437957000.0,690483000.0,693252000.0,,,0.115,,3112757000.0,-52880000.0,-6838000.0,-149950000.0,,-317505000.0,-384858000.0,587886000.0,60000000.0,119992000.0,0,S1004E4H,E05235,イーサポートリンク株式会社,119992000.0,75.64,691.54,17.0,第17期（自　平成25年12月１日　至　平成26年11月30日）,,150000000.0,5211853000.0,4424800.0,1,2014.0
137,,,,1325644000.0,,,,1391601000.0,4176402000.0,,323108000.0,,,0.302,,,,,,,124567000.0,-95376000.0,717412000.0,,,0,S1004C5Z,E02103,株式会社ＳＵＭＣＯ,,7441.98,31450.04,13.0,,,,2832324000.0,44248.0,1,2010.0
138,,,,1932060000.0,,,,2020398000.0,4182908000.0,,385401000.0,,,0.369,,,,,,,64765000.0,-142472000.0,684122000.0,,,0,S1004C5Z,E02103,株式会社ＳＵＭＣＯ,,14226.45,45660.79,14.0,,,,3629144000.0,44248.0,1,2011.0
