,data_ymd,docID,edinetCode,secCode,filerName,docDescription,disclosureStatus,xbrlFlag
0,2015-04-10,S1004ICP,E27113,,ＯＰコーポレート・バンク・ピーエルシー（ＯＰ　Ｃｏｒｐｏｒａｔｅ　Ｂａｎｋ　ｐｌｃ）,有価証券報告書,0,0
1,2015-04-15,S1004JAS,E02882,78650.0,ピープル株式会社,有価証券報告書－第38期(平成26年1月21日－平成27年1月20日),0,1
2,2015-04-16,S1004JHG,E02665,81420.0,株式会社トーホー,有価証券報告書－第62期(平成26年2月1日－平成27年1月31日),0,1
3,2015-04-16,S1004JHI,E04853,96920.0,株式会社シーイーシー,有価証券報告書－第47期(平成26年2月1日－平成27年1月31日),0,1
4,2015-04-16,S1004JI0,E05168,48130.0,株式会社ＡＣＣＥＳＳ,有価証券報告書－第31期(平成26年2月1日－平成27年1月31日),0,1
5,2015-04-17,S1004JKU,E02293,69660.0,株式会社三井ハイテック,有価証券報告書－第81期(平成26年2月1日－平成27年1月31日),0,1
6,2015-04-17,S1004J8I,E00424,25900.0,ダイドーグループホールディングス株式会社,有価証券報告書－第40期(平成26年1月21日－平成27年1月20日),0,1
7,2015-04-17,S1004JOZ,E05776,86860.0,ＡＦＬＡＣ　Ｉｎｃｏｒｐｏｒａｔｅｄ,有価証券報告書,0,0
8,2015-04-17,S1004JNM,E06017,,欧州評議会開発銀行,有価証券報告書,0,0
9,2015-04-20,S1004JTW,E02888,75900.0,株式会社タカショー,有価証券報告書－第35期(平成26年1月21日－平成27年1月20日),0,1
10,2015-04-22,S1004KLO,E03175,98290.0,株式会社ながの東急百貨店,有価証券報告書－第57期(平成26年2月1日－平成27年1月31日),0,1
11,2015-04-23,S1004KHF,E04647,,株式会社福岡カンツリー倶楽部,有価証券報告書－第64期(平成26年2月1日－平成27年1月31日),0,1
12,2015-04-23,S1004KNU,E05717,21630.0,株式会社アルトナー,有価証券報告書－第53期(平成26年2月1日－平成27年1月31日),0,1
13,2015-04-23,S1004KQD,E03004,30700.0,株式会社アマガサ,有価証券報告書－第25期(平成26年2月1日－平成27年1月31日),0,1
14,2015-04-23,S1004KX7,E24479,,アカウンティング・サース・ジャパン株式会社,有価証券報告書－第6期(平成26年2月1日－平成27年1月31日),0,1
15,2015-04-24,S1004JSY,E02490,43690.0,株式会社　トリケミカル研究所,有価証券報告書－第37期(平成26年2月1日－平成27年1月31日),0,1
16,2015-04-24,S1004KMJ,E02007,66540.0,不二電機工業株式会社,有価証券報告書－第57期(平成26年2月1日－平成27年1月31日),0,1
17,2015-04-24,S1004KW3,E04671,,株式会社可児ゴルフ倶楽部,有価証券報告書－第42期(平成26年2月1日－平成27年1月31日),0,1
18,2015-04-24,S1004KQM,E03311,,株式会社　ナイスクラップ,有価証券報告書－第33期(平成26年2月1日－平成27年1月31日),0,1
19,2015-04-24,S1004KMK,E00571,80130.0,株式会社ナイガイ,有価証券報告書－第118期(平成26年2月1日－平成27年1月31日),0,1
20,2015-04-24,S1004KU7,E00688,39550.0,株式会社イムラ封筒,有価証券報告書－第65期(平成26年2月1日－平成27年1月31日),0,1
21,2015-04-24,S1004KZ8,E04075,32460.0,株式会社コーセーアールイー,有価証券報告書－第25期(平成26年2月1日－平成27年1月31日),0,1
22,2015-04-24,S1004L16,E00143,19280.0,積水ハウス株式会社,有価証券報告書－第64期(平成26年2月1日－平成27年1月31日),0,1
23,2015-04-24,S1004L1W,E05094,47640.0,ＳＡＭＵＲＡＩ＆Ｊ　ＰＡＲＴＮＥＲＳ株式会社,有価証券報告書－第19期(平成26年2月1日－平成27年1月31日),0,1
24,2015-04-24,S1004L2C,E25898,36570.0,ポールトゥウィン・ピットクルーホールディングス株式会社,有価証券報告書－第6期(平成26年2月1日－平成27年1月31日),0,1
25,2015-04-24,S1004INU,E04593,96370.0,オーエス株式会社,有価証券報告書－第97期(平成26年2月1日－平成27年1月31日),0,1
26,2015-04-24,S1004L33,E02960,27760.0,新都ホールディングス株式会社,有価証券報告書－第31期(平成26年2月1日－平成27年1月31日),0,1
27,2015-04-24,S1004L38,E04668,,株式会社富山ゴルフ,有価証券報告書－第45期(平成26年2月1日－平成27年1月31日),0,1
28,2015-04-24,S1004L4C,E02967,33200.0,クロスプラス株式会社,有価証券報告書－第62期(平成26年2月1日－平成27年1月31日),0,1
29,2015-04-24,S1004KJ5,E00208,97430.0,株式会社丹青社,有価証券報告書－第57期(平成26年2月1日－平成27年1月31日),0,1
30,2015-04-24,S1004KYD,E25888,36580.0,株式会社イーブックイニシアティブジャパン,有価証券報告書－第15期(平成26年2月1日－平成27年1月31日),0,1
31,2015-04-27,S1004KR7,E00381,22170.0,モロゾフ株式会社,有価証券報告書－第85期(平成26年2月1日－平成27年1月31日),0,1
32,2015-04-27,S1004L6B,E00287,17580.0,太洋基礎工業株式会社,有価証券報告書－第48期(平成26年2月1日－平成27年1月31日),0,1
33,2015-04-27,S1004LBT,E03470,33990.0,株式会社丸千代山岡家,有価証券報告書－第22期(平成26年2月1日－平成27年1月31日),0,1
34,2015-04-27,S1004KNX,E02016,68980.0,トミタ電機株式会社,有価証券報告書－第64期(平成26年2月1日－平成27年1月31日),0,1
35,2015-04-27,S1004L3N,E23841,31590.0,丸善ＣＨＩホールディングス株式会社,有価証券報告書－第5期(平成26年2月1日－平成27年1月31日),0,1
36,2015-04-27,S1004LDP,E26095,31690.0,株式会社ミサワ,有価証券報告書－第56期(平成26年2月1日－平成27年1月31日),0,1
37,2015-04-28,S1004LKB,E02065,67570.0,株式会社ＯＳＧコーポレーション,有価証券報告書－第45期(平成26年2月1日－平成27年1月31日),0,1
38,2015-04-28,S1004L4O,E05254,43340.0,株式会社ユークス,有価証券報告書－第23期(平成26年2月1日－平成27年1月31日),0,1
39,2015-04-28,S1004KZM,E04763,97340.0,株式会社精養軒,有価証券報告書－第151期(平成26年2月1日－平成27年1月31日),0,1
40,2015-04-28,S1004LMI,E04676,,三原京覧開発　株式会社,有価証券報告書－第42期(平成26年2月1日－平成27年1月31日),0,1
41,2015-04-28,S1004L13,E04599,96320.0,スバル興業株式会社,有価証券報告書－第101期(平成26年2月1日－平成27年1月31日),0,1
42,2015-04-28,S1004LN0,E22630,,エイチエスビーシー・バンク・ピーエルシー,有価証券報告書,0,0
43,2015-04-28,S1004LO5,E02477,42380.0,ミライアル株式会社,有価証券報告書－第47期(平成26年2月1日－平成27年1月31日),0,1
44,2015-04-28,S1004L8Z,E02685,80680.0,菱洋エレクトロ株式会社,有価証券報告書－第55期(平成26年2月1日－平成27年1月31日),0,1
45,2015-04-28,S1004LF2,E04605,96810.0,株式会社東京ドーム,有価証券報告書－第105期(平成26年2月1日－平成27年1月31日),0,1
46,2015-04-28,S1004JVS,E04592,96360.0,株式会社きんえい,有価証券報告書－第118期(平成26年2月1日－平成27年1月31日),0,1
47,2015-04-28,S1004L61,E05204,42870.0,株式会社ジャストプランニング,有価証券報告書－第21期(平成26年2月1日－平成27年1月31日),0,1
48,2015-04-28,S1004LRH,E26703,36650.0,株式会社エニグモ,有価証券報告書－第11期(平成26年2月1日－平成27年1月31日),0,1
49,2015-04-30,S1004KL1,E04682,,株式会社　横浜スタジアム,有価証券報告書－第38期(平成26年2月1日－平成27年1月31日),0,1
50,2015-04-30,S1004LVU,E30401,,アキュセラ・インク（Ａｃｕｃｅｌａ　Ｉｎｃ．）,有価証券報告書－第13期(平成26年1月1日－平成26年12月31日),0,0
51,2015-04-30,S1004LTN,E03351,,株式会社Ｋ－ＧＯＬＤインターナショナル,有価証券報告書－第24期(平成26年2月1日－平成27年1月31日),0,1
52,2015-04-30,S1004LMP,E03506,30710.0,株式会社ストリーム,有価証券報告書－第16期(平成26年2月1日－平成27年1月31日),0,1
53,2015-04-30,S1004LQ4,E03317,76140.0,株式会社オーエムツーネットワーク,有価証券報告書－第56期(平成26年2月1日－平成27年1月31日),0,1
54,2015-04-30,S1004LXN,E02047,63360.0,株式会社石井表記,有価証券報告書－第42期(平成26年2月1日－平成27年1月31日),0,1
55,2015-04-30,S1004LNS,E02404,79560.0,ピジョン株式会社,有価証券報告書－第58期(平成26年2月1日－平成27年1月31日),0,1
56,2015-04-30,S1004M03,E04590,88420.0,株式会社　東京楽天地,有価証券報告書－第116期(平成26年2月1日－平成27年1月31日),0,1
57,2015-04-30,S1004M1F,E04672,,備後観光開発株式会社,有価証券報告書－第42期(平成26年2月1日－平成27年1月31日),0,1
58,2015-04-30,S1004M2L,E04538,97040.0,株式会社アゴーラ・ホスピタリティー・グループ,有価証券報告書－第77期(平成26年1月1日－平成26年12月31日),0,1
59,2015-04-30,S1004M3I,E31382,45920.0,サンバイオ株式会社,有価証券報告書－第2期(平成26年2月1日－平成27年1月31日),0,1
60,2015-04-30,S1004M3L,E02439,78780.0,株式会社光・彩,有価証券報告書－第48期(平成26年2月1日－平成27年1月31日),0,1
61,2015-04-30,S1004M5I,E22102,,ＪＰＮホールディングス株式会社,有価証券報告書－第6期(平成26年2月1日－平成27年1月31日),0,1
62,2015-05-01,S1004M7D,E25830,,クレディ・アグリコル・コーポレート・アンド・インベストメント・バンク,有価証券報告書,0,0
63,2015-05-11,S1004NIL,E05923,,コーペラティブ・ラボバンク・ウー・アー,有価証券報告書,0,0
64,2015-05-12,S1004O2G,E03100,,さが美グループホールディングス株式会社,有価証券報告書－第41期(平成26年2月21日－平成27年2月20日),0,1
65,2015-05-12,S1004NZB,E03144,98430.0,株式会社ニトリホールディングス,有価証券報告書－第43期(平成26年2月21日－平成27年2月20日),0,1
66,2015-05-13,S1004NE3,E03287,75450.0,株式会社西松屋チェーン,有価証券報告書－第59期(平成26年2月21日－平成27年2月20日),0,1
67,2015-05-14,S1004OAW,E03419,,株式会社サッポロドラッグストアー,有価証券報告書－第33期(平成26年2月16日－平成27年2月15日),0,1
68,2015-05-14,S1004OCW,E02706,98420.0,アークランドサカモト株式会社,有価証券報告書－第46期(平成26年2月21日－平成27年2月20日),0,1
69,2015-05-14,S1004OVE,E03219,99760.0,株式会社　セキチュー,有価証券報告書－第64期(平成26年2月21日－平成27年2月20日),0,1
70,2015-05-15,S1004O4Z,E03081,82760.0,株式会社　平和堂,有価証券報告書－第58期(平成26年2月21日－平成27年2月20日),0,1
71,2015-05-15,S1004PCV,E03415,27780.0,パレモ・ホールディングス株式会社,有価証券報告書－第30期(平成26年2月21日－平成27年2月20日),0,1
72,2015-05-15,S1004PCI,E03244,74480.0,株式会社ジーンズメイト,有価証券報告書－第55期(平成26年2月21日－平成27年2月20日),0,1
73,2015-05-15,S1004PMQ,E03137,82270.0,株式会社しまむら,有価証券報告書－第62期(平成26年2月21日－平成27年2月20日),0,1
74,2015-05-15,S1004PI1,E24685,,ロイズ・バンク・ピーエルシー,有価証券報告書,0,0
75,2015-05-15,S1004L7T,E05907,,ルノー,有価証券報告書,0,0
76,2015-05-15,S1004OYP,E01677,62790.0,株式会社瑞光,有価証券報告書－第52期(平成26年2月21日－平成27年2月20日),0,1
77,2015-05-15,S1004PHN,E03160,98780.0,株式会社　セキド,有価証券報告書－第53期(平成26年2月21日－平成27年2月20日),0,1
78,2015-05-15,S1004OTY,E03119,82170.0,株式会社オークワ,有価証券報告書－第46期(平成26年2月21日－平成27年2月20日),0,1
79,2015-05-18,S1004PRU,E03238,,ＤＣＭサンワ株式会社,有価証券報告書－第43期(平成26年2月21日－平成27年2月20日),0,1
80,2015-05-18,S1004PWN,E03439,33330.0,株式会社あさひ,有価証券報告書－第40期(平成26年2月21日－平成27年2月20日),0,1
81,2015-05-19,S1004PVN,E03123,,株式会社アークミール,有価証券報告書－第45期(平成26年3月1日－平成27年2月28日),0,1
82,2015-05-20,S1004QE6,E03031,,株式会社金沢名鉄丸越百貨店,有価証券報告書－第99期(平成26年3月1日－平成27年2月28日),0,1
83,2015-05-20,S1004Q72,E03093,81660.0,株式会社タカキュー,有価証券報告書－第66期(平成26年3月1日－平成27年2月28日),0,1
84,2015-05-20,S1004Q7W,E05858,,ザ・ゴールドマン・サックス・グループ・インク,有価証券報告書,0,0
85,2015-05-20,S1004QLV,E03350,,株式会社ダイユーエイト,有価証券報告書－第39期(平成26年2月21日－平成27年2月20日),0,1
86,2015-05-20,S1004Q55,E03135,,株式会社ＣＦＳコーポレーション,有価証券報告書－第68期(平成26年3月1日－平成27年2月28日),0,1
87,2015-05-21,S1004QK6,E03348,26550.0,マックスバリュ東北株式会社,有価証券報告書－第43期(平成26年3月1日－平成27年2月28日),0,1
88,2015-05-21,S1004Q5H,E03188,99460.0,ミニストップ株式会社,有価証券報告書－第36期(平成26年3月1日－平成27年2月28日),0,1
89,2015-05-21,S1004QLS,E04369,93810.0,株式会社エーアイテイー,有価証券報告書－第28期(平成26年3月1日－平成27年2月28日),0,1
90,2015-05-21,S1004QT1,E03248,74530.0,株式会社　良品計画,有価証券報告書－第36期(平成26年3月1日－平成27年2月28日),0,1
91,2015-05-21,S1004QU7,E03313,76030.0,株式会社マックハウス,有価証券報告書－第25期(平成26年3月1日－平成27年2月28日),0,1
92,2015-05-21,S1004PHR,E25994,,ノルデア・バンク・アクツィエボラーグ・プブリクト,有価証券報告書,0,0
93,2015-05-21,S1004QI9,E03312,76010.0,株式会社ポプラ,有価証券報告書－第40期(平成26年3月1日－平成27年2月28日),0,1
94,2015-05-21,S1004QP0,E04835,97160.0,株式会社乃村工藝社,有価証券報告書－第78期(平成26年3月1日－平成27年2月28日),0,1
95,2015-05-21,S1004QD4,E02622,,ユニーグループ・ホールディングス株式会社,有価証券報告書－第44期(平成26年3月1日－平成27年2月28日),0,1
96,2015-05-21,S1004Q73,E03013,82330.0,株式会社髙島屋,有価証券報告書－第149期(平成26年3月1日－平成27年2月28日),0,1
97,2015-05-21,S1004QZ9,E03220,99770.0,株式会社アオキスーパー,有価証券報告書－第41期(平成26年2月21日－平成27年2月28日),0,1
